Question Text,Correct Answer,Question Category,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,,
What is the capital of France?,Paris,Geography,London,Berlin,Madrid,,
Who won the FIFA World Cup in 2018?,France,Football,Brazil,Germany,Argentina,,
What is the largest planet in our solar system?,Jupiter,Geography,Saturn,Mars,Earth,,
What is the main programming language used for Android app development?,Java,Java,C++,Python,JavaScript,,
In which year did World War II end?,1945,History,1918,1939,1950,,
What is the name of the largest ocean on Earth?,Pacific Ocean,Geography,Atlantic Ocean,Indian Ocean,Arctic Ocean,,
Which team has won the most UEFA Champions League titles?,Real Madrid,Football,Barcelona,Liverpool,Bayern Munich,,
What is the name of the tallest mountain in the world?,Mount Everest,Geography,K2,Kangchenjunga,Makalu,,
Who is considered the father of modern physics?,Isaac Newton,History,Nicolaus Copernicus,Galileo Galilei,Albert Einstein,,
Which country hosted the 2014 FIFA World Cup?,Brazil,Football,Germany,Spain,France,,
Which programming language is known for its use in statistical computing and graphics?,R,Java,Python,C++,,,
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,History,Angela Merkel,Theresa May,Hillary Clinton,,
What is the longest river in the world?,Nile River,Geography,Amazon River,Yangtze River,Mississippi River,,
Which footballer has won the most Ballon d'Or awards?,Lionel Messi,Football,Cristiano Ronaldo,Michel Platini,Marco van Basten,,
Which ancient civilization built the Great Pyramids of Giza?,Ancient Egyptians,History,Ancient Greeks,Ancient Romans,Mayans,,
What is the currency of Japan?,Yen,Geography,Euro,Dollar,Pound,,
"Who is the author of the book ""To Kill a Mockingbird""?",Harper Lee,History,J.K. Rowling,Mark Twain,Charles Dickens,,
"Which continent is known as the ""Land of Fire and Ice""?",Europe,Geography,Africa,Asia,Antarctica,,
"Which footballer is often referred to as ""CR7""?",Cristiano Ronaldo,Football,Lionel Messi,Neymar,Mohamed Salah,,
Which American president was assassinated in 1963?,John F. Kennedy,History,Abraham Lincoln,Theodore Roosevelt,Ronald Reagan,,
What is the capital of Japan?,Tokyo,Geography,Beijing,Seoul,Osaka,,
"Who painted the famous artwork ""The Starry Night""?",Vincent van Gogh,History,Pablo Picasso,Leonardo da Vinci,Claude Monet,,
Which mountain range spans across seven countries in South America?,Andes Mountains,Geography,Alps,Himalayas,Rocky Mountains,,
What is the currency of India?,Indian Rupee,Geography,Yen,Dollar,Pound,,
"Who is known as the ""Father of Geometry""?",Euclid,History,Aristotle,Pythagoras,Socrates,,
What is the world's largest desert?,Sahara Desert,Geography,Gobi Desert,Kalahari Desert,Arabian Desert,,
Which football club has won the most English Premier League titles?,Manchester United,Football,Liverpool,Arsenal,Chelsea,,
"Which queen was known as the ""Virgin Queen""?",Queen Elizabeth I,History,Queen Victoria,Cleopatra,Queen Anne,,
What is the tallest animal in the world?,Giraffe,Geography,Elephant,Lion,Hippo,,
"Who composed the musical masterpiece ""Symphony No. 9""?",Ludwig van Beethoven,History/Western Classical Music/Western Art Music/Western Classical Tradition,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,,
What is the largest country by land area?,Russia,Geography,Canada,China,United States,,
"Which footballer is known for his famous ""Hand of God"" goal?",Diego Maradona,Football,Pele,Ronaldinho,Zinedine Zidane,,
Who discovered penicillin?,Alexander Fleming,History,Marie Curie,Albert Einstein,Isaac Newton,,
Which ocean is the deepest in the world?,Pacific Ocean,Geography,Indian Ocean,Atlantic Ocean,Arctic Ocean,,
Which footballer has won the most FIFA World Player of the Year awards?,Lionel Messi,Football,Cristiano Ronaldo,Ronaldinho,Zinedine Zidane,,
What is the currency of Brazil?,Real,Geography,Peso,Dinar,Ruble,,
"Who wrote the play ""Romeo and Juliet""?",William Shakespeare,History,Charles Dickens,Mark Twain,George Orwell,,
What is the capital of Spain?,Madrid,Geography,Barcelona,Seville,Valencia,,
Who is credited with inventing the telephone?,Alexander Graham Bell,History,Thomas Edison,Isaac Newton,Nikola Tesla,,
What is the smallest continent in the world?,Australia,Geography,Europe,Asia,North America,,
"Which country is known as the ""Land of the Rising Sun""?",Japan,Geography,China,South Korea,Vietnam,,
Who scored the fastest hat-trick in Premier League history?,Sadio Mane,Football,Sergio Aguero,Harry Kane,Wayne Rooney,,
Which Greek philosopher was the teacher of Alexander the Great?,Aristotle,History/School Teacher,Marcus Aurelius,Socrates,Plato,,
What is the currency of Australia?,Australian Dollar,Geography,Euro,Yen,Pound,,
Who is the founder of Microsoft Corporation?,Bill Gates,History/Founder,Steve Jobs,Mark Zuckerberg,Jeff Bezos,,
What is the largest continent by land area?,Asia,Geography,Africa,North America,South America,,
Which country is famous for the ancient city of Machu Picchu?,Peru,Geography,Mexico,Brazil,Argentina,,
"Who painted the famous artwork ""Mona Lisa""?",Leonardo da Vinci,History/Painter,Vincent van Gogh,Pablo Picasso,Claude Monet,,
Which river is associated with the ancient civilization of Egypt?,Nile River,Geography,Amazon River,Yangtze River,Mississippi River,,
"Which footballer has the nickname ""The Pharaoh""?",Mohamed Salah,Football,Eden Hazard,Lionel Messi,Cristiano Ronaldo,,
Who invented the light bulb?,Thomas Edison,History/Inventor,Albert Einstein,Nikola Tesla,Isaac Newton,,
What is the driest desert in the world?,Atacama Desert,Geography,Sahara Desert,Gobi Desert,Kalahari Desert,,
"Who wrote the novel ""1984""?",George Orwell,History/Author,Ernest Hemingway,Mark Twain,Jane Austen,,
"Which country is known as the ""Land of a Thousand Lakes""?",Finland,Geography,Sweden,Norway,Denmark,,
Which footballer has won the most FIFA Ballon d'Or awards?,Lionel Messi,Football,Cristiano Ronaldo,Ronaldo,Neymar,,
"Who is known as the ""Father of Modern Medicine""?",Hippocrates,History/Scientist,Aristotle,Pythagoras,Plato,,
What is the highest mountain in Africa?,Mount Kilimanjaro,Geography,Mount Everest,K2,Kangchenjunga,,
"Which country is known as the ""Emerald Isle""?",Ireland,Geography,Scotland,England,Wales,,
Who invented the World Wide Web (WWW)?,Tim Berners-Lee,History/Inventor,Steve Jobs,Bill Gates,Mark Zuckerberg,,
What is the national flower of Japan?,Cherry Blossom,Geography,Rose,Lily,Tulip,,
Who scored the fastest goal in World Cup history?,Hakan Şükür,Football,Héctor Scarone,Ernest Wilimowski,Bryan Robson,,
"Which city is known as the ""City of Love""?",Paris,Geography,Rome,Venice,Florence,,
What is the oldest university in the world still in operation?,University of Bologna,History,University of Oxford,University of Cambridge,Harvard University,,
"Who is the author of the play ""Hamlet""?",William Shakespeare,History/Author,Charles Dickens,Mark Twain,Jane Austen,,
Which river flows through the Grand Canyon?,Colorado River,Geography,Amazon River,Yangtze River,Nile River,,
Which American president was impeached and removed from office?,Richard Nixon,History,Bill Clinton,Andrew Johnson,Donald Trump,,
What is the largest species of bear?,Polar Bear,Geography,Grizzly Bear,Brown Bear,Black Bear,,
"Who composed the famous piece ""The Four Seasons""?",Antonio Vivaldi,History/Composer,Johann Sebastian Bach,Ludwig van Beethoven,Wolfgang Amadeus Mozart,,
What is the largest archipelago in the world?,Indonesia,Geography,Philippines,Japan,United Kingdom,,
Which scientist formulated the theory of general relativity?,Albert Einstein,History/Scientist,Isaac Newton,Nikola Tesla,Galileo Galilei,,
Who is the lead singer of the band Queen?,Freddie Mercury,History/Singer,John Lennon,Elvis Presley,Michael Jackson,,
What is the highest mountain in South America?,Aconcagua,Geography,Mount Everest,K2,Kangchenjunga,,
"Which country is known as the ""Land of the Thunder Dragon""?",Bhutan,Geography,Nepal,Tibet,Myanmar,,
Who discovered America?,Christopher Columbus,History/Explorer,Vasco da Gama,Amerigo Vespucci,Marco Polo,,
What is polymorphism in Java?,Ability of an object to take many forms,Java/Polymorphism,Encapsulation,Abstraction,Inheritance,,
What is inheritance in Java?,Ability of a class to inherit properties and behavior from another class,Java/Inheritance,Polymorphism,Abstraction,Encapsulation,,
What does OOP stand for?,Object-Oriented Programming,Java/OOP,Object-Oriented Analysis,Object-Oriented Design,Procedural Programming,,
What is the difference between an object and a class in Java?,Class is a blueprint/template and object is an instance of a class,Java/OOP,Objects are static,Classes have data,Classes have methods,,
What is encapsulation in Java?,Wrapping of data and methods into a single unit,Java/Encapsulation,Polymorphism,Inheritance,Abstraction,,
What is a constructor in Java?,Special type of method used to initialize objects,Java/Constructors,Getter method,Setter method,Main method,,
What is method overloading in Java?,Having multiple methods in the same class with the same name but different parameters,Java/Method Overloading,Method overriding,Method encapsulation,Method inheritance,,
What is method overriding in Java?,Implementing a method in a subclass that is already present in the parent class,Java/Method Overriding,Method overloading,Method encapsulation,Method inheritance,,
"What is the ""super"" keyword used for in Java?",Refers to the immediate parent class of a subclass,Java/Super Keyword,Accessing local variable,Accessing static method,Creating a new object,,
What are access modifiers in Java?,Keywords that define accessibility of classes,Java, and variables,Java/Access Modifiers,Data types,Constructors,Operators
"What is the use of ""this"" keyword in Java?",Refers to the current instance of the class,Java/This Keyword,Refers to parent class,Refers to subclass,Refers to static method,,
"What is the difference between ""=="" and "".equals()"" in Java?"," ""=="" compares references",Java,Java/Comparison,Both compare values,Both compare references,== compares values,
What is the difference between a static and non-static method in Java?,Static methods belong to the class itself,java,Java/Static Methods,Static methods cannot be called,Non-static methods are faster,Non-static methods cannot be overridden,
What is a variable in Java?,A container that holds data values,Java/Variables,A constant value,A keyword in Java,A loop in Java,,
What is an array in Java?,A data structure that stores a fixed-size sequential collection of elements,Java/Arrays,A variable that holds multiple values,A string in Java,A loop in Java,,
What is the difference between a local variable and an instance variable in Java?,Local variables are declared inside methods,Java,Java/Variables,Both are declared in methods,Both are declared in classes,Local variables are static,
What is the default value of an instance variable in Java?,Depends on the data type (e.g.,Java, null for object references),Java/Variables,Depends on the class name,Depends on the method,Depends on the object
What is a final variable in Java?,A variable whose value cannot be changed once assigned,Java/Final Variables,A variable declared in a final method,A variable declared in a static method,A variable declared in a constructor,,
What is a two-dimensional array in Java?,An array of arrays,Java/Arrays,A single array with two elements,A square array,A triangular array,,
"What is the role of the ""new"" keyword in Java?",Used to instantiate an object or create an instance of a class,Java/New Keyword,Used to delete an object,Used to call a method,Used to initialize a variable,,
What is a static variable in Java?,A variable that belongs to the class rather than instances of the class,Java/Static Variables,A variable that is constant,A variable that is local,A variable that changes frequently,,
What is a method signature in Java?,The method name and parameter list,Java/Method Signature,The method name and return type,The method visibility,The method definition,,
"What is the purpose of the ""final"" keyword in Java?",It makes a variable,Java, or class constant,Java/Final Keyword,It makes a variable private,It makes a method static,It makes a class abstract
What is an abstract class in Java?,A class that cannot be instantiated and may contain abstract methods,Java/Abstract Class,A class with no methods,A class with no variables,A class with only static methods,,
What is a constructor chaining in Java?,Calling one constructor from another within the same class,Java/Constructors,Creating multiple objects,Passing multiple arguments,Creating multiple classes,,
What is method hiding in Java?,When a subclass defines a static method with the same signature as a static method in the parent class,Java/Method Hiding,Method overloading,Method overriding,Method encapsulation,,
What is a package in Java?,A group of related classes and interfaces,Java/Packages,A single class,A single interface,A single method,,
"What is the purpose of the ""extends"" keyword in Java?",Used to create a subclass that inherits properties and behaviors from a superclass,Java/Extends Keyword,Used to implement an interface,Used to declare a variable,Used to create an object,,
"What is the purpose of the ""implements"" keyword in Java?",Used to implement an interface in a class,Java/Implements Keyword,Used to create an object,Used to declare a variable,Used to create a subclass,,
What is the difference between a class and an object in Java?,A class is a blueprint, an object is an instance of a class,Java/Class vs Object,Both represent instances,Both represent blueprints,A class contains methods,
"What is the purpose of the ""super()"" constructor call in Java?",Used to call the constructor of the superclass,Java/Super() Constructor,Used to call the constructor of the subclass,Used to call a static method,Used to call a non-static method,,
"What is the purpose of the ""instanceof"" operator in Java?",Used to test if an object is an instance of a class,Java/Instanceof Operator,Used to test if a class is abstract,Used to test if a class is final,Used to test if a class is static,,
What is method hiding in Java?,When a subclass defines a static method with the same signature as a static method in the parent class,Java/Method Hiding,Method overloading,Method overriding,Method encapsulation,,
What is a static block in Java?,A block of code that is executed when a class is loaded into memory,Java/Static Block,A block of code within a method,A block of code within a loop,A block of code within a constructor,,
What is an interface in Java?,A blueprint of methods that a class must implement,Java/Interfaces,A class with no methods,A class with only variables,A class with only static methods,,
"What is the purpose of the ""abstract"" keyword in Java?",Used to declare abstract classes and methods,Java/Abstract Keyword,Used to declare final classes and methods,Used to declare private classes and methods,Used to declare static classes and methods,,
What is a default constructor in Java?,A constructor with no arguments,Java/Default Constructor,A constructor with default values,A constructor with multiple arguments,A constructor with a return type,,
"What is the purpose of the ""private"" access modifier in Java?",Restricts access to members within the same class,Java/Private Access Modifier,Allows access from anywhere,Allows access only within the same package,Allows access from subclasses,,
"What is the purpose of the ""protected"" access modifier in Java?",Allows access within the same package and subclasses in different packages,Java/Protected Access Modifier,Allows access from anywhere,Allows access only within the same package,Restricts access within the same package,,
What is method chaining in Java?,Invoking multiple methods in a single line,Java/Method Chaining,Invoking a method with multiple parameters,Invoking a static method,Invoking a non-static method,,
"What is the purpose of the ""final"" keyword in Java?",It makes a variable,Java, or class constant,Java/Final Keyword,It makes a variable private,It makes a method static,It makes a class abstract
What is a generic class in Java?,A class that can work with any data type,Java/Generic Class,A class with no methods,A class with only variables,A class with only static methods,,
